input,expected_output
"{""user_context"": ""Note the highlights from the presentation on the discussion"", ""context_metadata"": {""urls"": [""https://www.admin.com/dashboard""], ""tags"": [""highlights"", ""the discussion""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.88, ""reasoning"": ""User wants to save notes or document key points, indicating note-taking functionality.""}"
"{""user_context"": ""Note the highlights from the conference on the workshop"", ""context_metadata"": {""urls"": [], ""tags"": [""highlights"", ""the workshop""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.9, ""reasoning"": ""User wants to save notes or document key points, indicating note-taking functionality.""}"
"{""user_context"": ""Extract table information about {topic} from the dashboard"", ""context_metadata"": {""urls"": [], ""tags"": [""information"", ""{topic}""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.92, ""reasoning"": ""User explicitly wants to extract table data from a source, matching EXTRACT_DATA_TABLE task type.""}"
"{""user_context"": ""Draft an email to the team about project update"", ""context_metadata"": {""urls"": [], ""tags"": [""the team"", ""project update""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.89, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Write down the main takeaways from the conference"", ""context_metadata"": {""urls"": [""https://www.api.com/admin""], ""tags"": [""takeaways"", ""the conference""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.91, ""reasoning"": ""Request involves capturing, recording, or documenting information from a source.""}"
"{""user_context"": ""Schedule project review for next week in my calendar"", ""context_metadata"": {""urls"": [], ""tags"": [""project review"", ""next week""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.92, ""reasoning"": ""User explicitly requests creating calendar entries or reminders.""}"
"{""user_context"": ""Draw a process diagram representing the system"", ""context_metadata"": {""urls"": [""https://admin.example.com/docs""], ""tags"": [""process"", ""the system""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.88, ""reasoning"": ""User wants to create a diagram, which directly maps to CREATE_DIAGRAMS task type.""}"
"{""user_context"": ""Document the key points about client feedback"", ""context_metadata"": {""urls"": [""https://example.com/docs""], ""tags"": [""document"", ""client feedback""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.94, ""reasoning"": ""Task requires capturing and storing notes or documentation.""}"
"{""user_context"": ""Auto-fill the application form with my profile information"", ""context_metadata"": {""urls"": [], ""tags"": [""application"", ""profile""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.93, ""reasoning"": ""Request involves auto-populating form fields with user information.""}"
"{""user_context"": ""Compare headphones costs from different sellers"", ""context_metadata"": {""urls"": [], ""tags"": [""headphones"", ""sellers""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.95, ""reasoning"": ""User wants to compare prices across stores, matching COMPARE_SHOPPING_PRICES task type.""}"
"{""user_context"": ""Create a ER diagram showing the workflow"", ""context_metadata"": {""urls"": [], ""tags"": [""ER"", ""the workflow""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.87, ""reasoning"": ""Request involves creating visual diagrams or flowcharts.""}"
"{""user_context"": ""Build a map displaying office locations"", ""context_metadata"": {""urls"": [""https://api.example.com/docs""], ""tags"": [""displaying"", ""office locations""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.93, ""reasoning"": ""User explicitly requests creating a map with location data.""}"
"{""user_context"": ""Draft an email to the stakeholders about the delay"", ""context_metadata"": {""urls"": [], ""tags"": [""the stakeholders"", ""the delay""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.93, ""reasoning"": ""User wants to draft or compose an email, matching DRAFT_EMAIL task type.""}"
"{""user_context"": ""Extract all rows from the inventory levels table"", ""context_metadata"": {""urls"": [], ""tags"": [""rows"", ""inventory levels""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.9, ""reasoning"": ""Task requires extracting table data from a specified source.""}"
"{""user_context"": ""Draft a message to the team regarding project status"", ""context_metadata"": {""urls"": [""https://www.app.com/docs""], ""tags"": [""the team"", ""project status""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.92, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Automatically fetch analytics reports from the system"", ""context_metadata"": {""urls"": [], ""tags"": [""analytics"", ""the system""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.95, ""reasoning"": ""Request involves automated report downloading from a source.""}"
"{""user_context"": ""Save this resource to my information repository"", ""context_metadata"": {""urls"": [""https://dashboard.example.com/portal""], ""tags"": [""information"", ""this resource""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.94, ""reasoning"": ""Task requires storing content in a knowledge repository or management system.""}"
"{""user_context"": ""Find the best deal on headphones by comparing prices"", ""context_metadata"": {""urls"": [""https://www.portal.com/dashboard""], ""tags"": [""deal"", ""headphones""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.9, ""reasoning"": ""User explicitly wants price comparison functionality.""}"
"{""user_context"": ""Take notes on the workshop from the conference"", ""context_metadata"": {""urls"": [""https://example.com/products""], ""tags"": [""notes"", ""the workshop""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.93, ""reasoning"": ""Task requires capturing and storing notes or documentation.""}"
"{""user_context"": ""Auto-populate the survey form on the site"", ""context_metadata"": {""urls"": [""https://example.com/products""], ""tags"": [""survey"", ""the site""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.91, ""reasoning"": ""User explicitly requests automatic form filling functionality.""}"
"{""user_context"": ""Save notes about the important details discussed in the session"", ""context_metadata"": {""urls"": [], ""tags"": [""save"", ""the important details""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.86, ""reasoning"": ""User explicitly requests to take notes or document information, which maps to NOTE_TAKING task type.""}"
"{""user_context"": ""Record notes from the review session regarding the discussion"", ""context_metadata"": {""urls"": [], ""tags"": [""record"", ""the review session""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.94, ""reasoning"": ""Task requires capturing and storing notes or documentation.""}"
"{""user_context"": ""Fill the job application form automatically"", ""context_metadata"": {""urls"": [], ""tags"": [""job application"", ""automatically""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.94, ""reasoning"": ""Request involves auto-populating form fields with user information.""}"
"{""user_context"": ""Create a visual ER diagram for {topic}"", ""context_metadata"": {""urls"": [], ""tags"": [""visual"", ""ER""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.9, ""reasoning"": ""User wants to create a diagram, which directly maps to CREATE_DIAGRAMS task type.""}"
"{""user_context"": ""Make a ER diagram illustrating the architecture"", ""context_metadata"": {""urls"": [], ""tags"": [""ER"", ""the architecture""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.85, ""reasoning"": ""Request involves creating visual diagrams or flowcharts.""}"
"{""user_context"": ""Block time in my calendar for client call on tomorrow"", ""context_metadata"": {""urls"": [""https://www.app.com/products""], ""tags"": [""client call"", ""tomorrow""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.89, ""reasoning"": ""Request involves scheduling or adding events to calendar.""}"
"{""user_context"": ""Make a flowchart diagram depicting the workflow"", ""context_metadata"": {""urls"": [], ""tags"": [""flowchart"", ""the workflow""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.88, ""reasoning"": ""User explicitly mentions creating or drawing a diagram.""}"
"{""user_context"": ""Write an email about the delay to the stakeholders"", ""context_metadata"": {""urls"": [""https://portal.example.com/reports""], ""tags"": [""the delay"", ""the stakeholders""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.88, ""reasoning"": ""Task requires email composition functionality.""}"
"{""user_context"": ""Make a architecture diagram illustrating the design"", ""context_metadata"": {""urls"": [], ""tags"": [""architecture"", ""the design""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.95, ""reasoning"": ""Task requires diagram creation capabilities.""}"
"{""user_context"": ""Save notes about the important details discussed in the session"", ""context_metadata"": {""urls"": [""https://www.admin.com/admin""], ""tags"": [""save"", ""the important details""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.94, ""reasoning"": ""Task requires capturing and storing notes or documentation.""}"
"{""user_context"": ""Set up reminders for the deadline"", ""context_metadata"": {""urls"": [], ""tags"": [""reminders"", ""the deadline""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.92, ""reasoning"": ""User wants to create todo items or a task list, which matches CREATE_TODO task type.""}"
"{""user_context"": ""Create tasks related to review items"", ""context_metadata"": {""urls"": [], ""tags"": [""related"", ""review items""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.9, ""reasoning"": ""User explicitly requests creating a todo list or adding tasks.""}"
"{""user_context"": ""Make a task list for project completion"", ""context_metadata"": {""urls"": [""https://example.com/admin""], ""tags"": [""list"", ""project completion""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.87, ""reasoning"": ""User wants to create todo items or a task list, which matches CREATE_TODO task type.""}"
"{""user_context"": ""Make a sequence diagram illustrating the flow"", ""context_metadata"": {""urls"": [""https://example.com/reports""], ""tags"": [""sequence"", ""the flow""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.86, ""reasoning"": ""Task requires diagram creation capabilities.""}"
"{""user_context"": ""Generate a architecture diagram of the infrastructure"", ""context_metadata"": {""urls"": [""https://www.api.com/dashboard""], ""tags"": [""architecture"", ""the infrastructure""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.9, ""reasoning"": ""Task requires diagram creation capabilities.""}"
"{""user_context"": ""Save this article to my information repository"", ""context_metadata"": {""urls"": [], ""tags"": [""information"", ""this article""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.91, ""reasoning"": ""Task requires storing content in a knowledge repository or management system.""}"
"{""user_context"": ""Generate a location map for our offices"", ""context_metadata"": {""urls"": [], ""tags"": [""location"", ""our offices""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.95, ""reasoning"": ""User explicitly requests creating a map with location data.""}"
"{""user_context"": ""Build a map displaying store locations"", ""context_metadata"": {""urls"": [], ""tags"": [""displaying"", ""store locations""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.87, ""reasoning"": ""Task requires location mapping functionality.""}"
"{""user_context"": ""Draft an email to the client explaining the results"", ""context_metadata"": {""urls"": [], ""tags"": [""the client"", ""the results""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.92, ""reasoning"": ""Task requires email composition functionality.""}"
"{""user_context"": ""Document the key points about project requirements"", ""context_metadata"": {""urls"": [], ""tags"": [""document"", ""project requirements""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.88, ""reasoning"": ""User explicitly requests to take notes or document information, which maps to NOTE_TAKING task type.""}"
"{""user_context"": ""Add action items for website redesign"", ""context_metadata"": {""urls"": [""https://www.portal.com/docs""], ""tags"": [""action"", ""website redesign""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.9, ""reasoning"": ""User explicitly requests creating a todo list or adding tasks.""}"
"{""user_context"": ""Extract inventory from system and put it in a sheet"", ""context_metadata"": {""urls"": [], ""tags"": [""extract"", ""inventory""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TO_SHEET"", ""confidence"": 0.86, ""reasoning"": ""User wants to create/organize data in spreadsheet format, which matches EXTRACT_DATA_TO_SHEET task type.""}"
"{""user_context"": ""Extract the table data from this webpage showing product prices"", ""context_metadata"": {""urls"": [""https://example.com/products/pricing""], ""tags"": [""table"", ""prices""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.95, ""reasoning"": ""User explicitly wants to extract table data from a webpage, which directly matches the EXTRACT_DATA_TABLE task type.""}"
"{""user_context"": ""Create a calendar event for deadline reminder on March 15th"", ""context_metadata"": {""urls"": [""https://api.example.com/admin""], ""tags"": [""deadline reminder"", ""March 15th""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.9, ""reasoning"": ""User explicitly requests creating calendar entries or reminders.""}"
"{""user_context"": ""Write an email about project update to the team"", ""context_metadata"": {""urls"": [], ""tags"": [""project update"", ""the team""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.86, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Add this tutorial to my knowledge base"", ""context_metadata"": {""urls"": [], ""tags"": [""knowledge"", ""this tutorial""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.92, ""reasoning"": ""Task requires storing content in a knowledge repository or management system.""}"
"{""user_context"": ""Add action items for marketing campaign"", ""context_metadata"": {""urls"": [], ""tags"": [""action"", ""marketing campaign""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.89, ""reasoning"": ""Task requires creating todo items or task management entries.""}"
"{""user_context"": ""Create a sequence diagram to visualize the infrastructure"", ""context_metadata"": {""urls"": [], ""tags"": [""sequence"", ""the infrastructure""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.89, ""reasoning"": ""User wants to create a diagram, which directly maps to CREATE_DIAGRAMS task type.""}"
"{""user_context"": ""Compose an email to the stakeholders concerning the delay"", ""context_metadata"": {""urls"": [], ""tags"": [""the stakeholders"", ""the delay""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.93, ""reasoning"": ""Task requires email composition functionality.""}"
"{""user_context"": ""Create an email draft for the stakeholders about the delay"", ""context_metadata"": {""urls"": [], ""tags"": [""the stakeholders"", ""the delay""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.92, ""reasoning"": ""Request involves creating email content or messages.""}"
"{""user_context"": ""Create notes summarizing the important details"", ""context_metadata"": {""urls"": [""https://dashboard.example.com/admin""], ""tags"": [""summarize"", ""the important details""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.87, ""reasoning"": ""Task requires capturing and storing notes or documentation.""}"
"{""user_context"": ""Schedule client call for tomorrow in my calendar"", ""context_metadata"": {""urls"": [""https://example.com/api""], ""tags"": [""client call"", ""tomorrow""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.92, ""reasoning"": ""Task requires calendar event creation functionality.""}"
"{""user_context"": ""Store this research paper in my knowledge management system"", ""context_metadata"": {""urls"": [""https://research.example.com/paper.pdf""], ""tags"": [""research"", ""paper""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.9, ""reasoning"": ""Storing research content in a knowledge management system is an ADD_TO_KNOWLEDGE_BASE task.""}"
"{""user_context"": ""Set up automatic downloads for analytics reports"", ""context_metadata"": {""urls"": [""https://dashboard.example.com/docs""], ""tags"": [""analytics"", ""automatic""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.89, ""reasoning"": ""Task requires automated report downloading functionality.""}"
"{""user_context"": ""Write down the main takeaways from the presentation"", ""context_metadata"": {""urls"": [""https://example.com/admin""], ""tags"": [""takeaways"", ""the presentation""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.86, ""reasoning"": ""User explicitly requests to take notes or document information, which maps to NOTE_TAKING task type.""}"
"{""user_context"": ""Check which store offers laptops at the best price"", ""context_metadata"": {""urls"": [""https://www.admin.com/admin""], ""tags"": [""offers"", ""laptops""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.92, ""reasoning"": ""Task requires comparing prices across different retailers or vendors.""}"
"{""user_context"": ""Schedule a reminder for team meeting on next Friday"", ""context_metadata"": {""urls"": [], ""tags"": [""team meeting"", ""next Friday""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.93, ""reasoning"": ""Task requires calendar event creation functionality.""}"
"{""user_context"": ""Generate a sequence diagram showing order fulfillment"", ""context_metadata"": {""urls"": [], ""tags"": [""sequence"", ""order fulfillment""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.88, ""reasoning"": ""Request involves creating visual diagrams or flowcharts.""}"
"{""user_context"": ""Make a CSV file with inventory information"", ""context_metadata"": {""urls"": [""https://app.example.com/dashboard""], ""tags"": [""csv"", ""inventory""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TO_SHEET"", ""confidence"": 0.92, ""reasoning"": ""Request involves extracting or organizing data into a sheet/spreadsheet format.""}"
"{""user_context"": ""Write down the main takeaways from the conference"", ""context_metadata"": {""urls"": [""https://www.portal.com/reports""], ""tags"": [""takeaways"", ""the conference""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.9, ""reasoning"": ""User explicitly requests to take notes or document information, which maps to NOTE_TAKING task type.""}"
"{""user_context"": ""Auto-populate the registration form on the site"", ""context_metadata"": {""urls"": [""https://www.app.com/products""], ""tags"": [""registration"", ""the site""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.86, ""reasoning"": ""Request involves auto-populating form fields with user information.""}"
"{""user_context"": ""Add action items for website redesign"", ""context_metadata"": {""urls"": [""https://www.portal.com/portal""], ""tags"": [""action"", ""website redesign""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.92, ""reasoning"": ""Request involves creating tasks, reminders, or checklist items.""}"
"{""user_context"": ""Auto-populate the registration form on the portal"", ""context_metadata"": {""urls"": [], ""tags"": [""registration"", ""the portal""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.85, ""reasoning"": ""Task requires automatically completing form fields.""}"
"{""user_context"": ""Configure automatic download for performance reports"", ""context_metadata"": {""urls"": [""https://www.app.com/admin""], ""tags"": [""performance"", ""configure""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.94, ""reasoning"": ""Task requires automated report downloading functionality.""}"
"{""user_context"": ""Create a architecture diagram to visualize our system"", ""context_metadata"": {""urls"": [], ""tags"": [""architecture"", ""our system""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.85, ""reasoning"": ""User wants to create a diagram, which directly maps to CREATE_DIAGRAMS task type.""}"
"{""user_context"": ""Check which store offers tablets at the best price"", ""context_metadata"": {""urls"": [], ""tags"": [""offers"", ""tablets""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.9, ""reasoning"": ""Task requires comparing prices across different retailers or vendors.""}"
"{""user_context"": ""Generate a location map for warehouses"", ""context_metadata"": {""urls"": [], ""tags"": [""location"", ""warehouses""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.91, ""reasoning"": ""Request involves creating geographic visualizations or location maps.""}"
"{""user_context"": ""Set up reminders for the upcoming sprint planning meeting"", ""context_metadata"": {""urls"": [], ""tags"": [""sprint"", ""planning""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.85, ""reasoning"": ""Setting up reminders can be considered creating todo items, though it might also relate to calendar events.""}"
"{""user_context"": ""Capture table data for sales from the dashboard"", ""context_metadata"": {""urls"": [""https://example.com/api""], ""tags"": [""sales"", ""the dashboard""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.9, ""reasoning"": ""Task requires extracting table data from a specified source.""}"
"{""user_context"": ""Fill the application form automatically"", ""context_metadata"": {""urls"": [], ""tags"": [""application"", ""automatically""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.91, ""reasoning"": ""User explicitly requests automatic form filling functionality.""}"
"{""user_context"": ""Configure automatic download for analytics reports"", ""context_metadata"": {""urls"": [""https://www.api.com/products""], ""tags"": [""analytics"", ""configure""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.88, ""reasoning"": ""Task requires automated report downloading functionality.""}"
"{""user_context"": ""Extract the table data from the dashboard"", ""context_metadata"": {""urls"": [], ""tags"": [""table"", ""the dashboard""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.85, ""reasoning"": ""User wants to capture or pull table information, indicating table extraction functionality.""}"
"{""user_context"": ""Archive this link for future reference"", ""context_metadata"": {""urls"": [""https://dashboard.example.com/portal""], ""tags"": [""archive"", ""this link""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.92, ""reasoning"": ""Task requires storing content in a knowledge repository or management system.""}"
"{""user_context"": ""Configure automatic download for sales reports"", ""context_metadata"": {""urls"": [], ""tags"": [""sales"", ""configure""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.88, ""reasoning"": ""Task requires automated report downloading functionality.""}"
"{""user_context"": ""Create an email to the client about the results"", ""context_metadata"": {""urls"": [""https://www.app.com/dashboard""], ""tags"": [""the client"", ""the results""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.86, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Generate a map with pins for all customer locations in the region"", ""context_metadata"": {""urls"": [], ""tags"": [""customers"", ""region""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.93, ""reasoning"": ""Generating a map with location pins indicates location mapping functionality.""}"
"{""user_context"": ""Make a flowchart diagram illustrating the architecture"", ""context_metadata"": {""urls"": [], ""tags"": [""flowchart"", ""the architecture""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.92, ""reasoning"": ""Task requires diagram creation capabilities.""}"
"{""user_context"": ""Plot customer locations on a map"", ""context_metadata"": {""urls"": [], ""tags"": [""plot"", ""customer locations""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.93, ""reasoning"": ""Task requires location mapping functionality.""}"
"{""user_context"": ""Complete the application form using my saved data"", ""context_metadata"": {""urls"": [""https://example.com/portal""], ""tags"": [""application"", ""saved""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.95, ""reasoning"": ""User wants to automatically fill out a form, matching FILL_FORM_AUTOMATICALLY task type.""}"
"{""user_context"": ""Write an email about project update to the team"", ""context_metadata"": {""urls"": [], ""tags"": [""project update"", ""the team""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.87, ""reasoning"": ""User wants to draft or compose an email, matching DRAFT_EMAIL task type.""}"
"{""user_context"": ""Create a geographic map of our offices"", ""context_metadata"": {""urls"": [], ""tags"": [""geographic"", ""our offices""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.91, ""reasoning"": ""Task requires location mapping functionality.""}"
"{""user_context"": ""Set up automated download of sales reports"", ""context_metadata"": {""urls"": [], ""tags"": [""sales"", ""automated""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.9, ""reasoning"": ""Task requires automated report downloading functionality.""}"
"{""user_context"": ""Archive this guide in my knowledge vault"", ""context_metadata"": {""urls"": [], ""tags"": [""vault"", ""this guide""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.94, ""reasoning"": ""User explicitly mentions adding to knowledge base or archiving for reference.""}"
"{""user_context"": ""Download financial reports to my computer automatically"", ""context_metadata"": {""urls"": [], ""tags"": [""financial"", ""computer""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.85, ""reasoning"": ""User wants to automatically download reports, matching AUTO_DOWNLOAD_REPORTS task type.""}"
"{""user_context"": ""Draft an email to the stakeholders about the delay"", ""context_metadata"": {""urls"": [""https://portal.example.com/products""], ""tags"": [""the stakeholders"", ""the delay""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.89, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Add todo items for the review"", ""context_metadata"": {""urls"": [], ""tags"": [""items"", ""the review""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.92, ""reasoning"": ""Request involves creating tasks, reminders, or checklist items.""}"
"{""user_context"": ""Draft an email to the team about project update"", ""context_metadata"": {""urls"": [], ""tags"": [""the team"", ""project update""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.94, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Schedule deadline reminder in calendar for March 15th"", ""context_metadata"": {""urls"": [""https://example.com/portal""], ""tags"": [""deadline reminder"", ""March 15th""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.87, ""reasoning"": ""User wants to create a calendar event, matching CREATE_CALENDAR_EVENT task type.""}"
"{""user_context"": ""Write an email about project update to the team"", ""context_metadata"": {""urls"": [""https://www.dashboard.com/admin""], ""tags"": [""project update"", ""the team""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.86, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Capture the comparison table from the dashboard"", ""context_metadata"": {""urls"": [""https://www.portal.com/admin""], ""tags"": [""comparison"", ""the dashboard""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.93, ""reasoning"": ""Task requires extracting table data from a specified source.""}"
"{""user_context"": ""Get all data from the comparison table on the website"", ""context_metadata"": {""urls"": [], ""tags"": [""comparison"", ""the website""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.92, ""reasoning"": ""User wants to capture or pull table information, indicating table extraction functionality.""}"
"{""user_context"": ""Document the discussion about the discussion"", ""context_metadata"": {""urls"": [], ""tags"": [""discussion"", ""the discussion""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.95, ""reasoning"": ""Request involves capturing, recording, or documenting information from a source.""}"
"{""user_context"": ""Create reminders about upcoming deadlines"", ""context_metadata"": {""urls"": [], ""tags"": [""about"", ""upcoming deadlines""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.93, ""reasoning"": ""User wants to create todo items or a task list, which matches CREATE_TODO task type.""}"
